model,scenario,region,variable,unit,year,value,Category,Ssp_family
AIM/CGE 2.2,EN_NPi2020_800f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,16.710900000000002,C3,2.0
GCAM 5.3,NGFS2_Divergent Net Zero Policies,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,3.5136271,C2,2.0
WITCH 5.0,EN_INDCi2030_800f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.83358219877729,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_COV,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.6275,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1200,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.6464,C3,2.0
AIM/CGE 2.2,EN_NPi2020_600f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,16.2307,C2,2.0
POLES GECO2019,CO_2Deg2030,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,4.575222492218018,C3,2.0
WITCH 5.0,EN_NPi2020_400f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,2.5161227099616297,C1,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.5227,C3,2.0
IMAGE 3.0,EN_INDCi2030_800f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,4.701748583465816,C3,2.0
POLES ENGAGE,EN_NPi2020_500f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.313001155853272,C3,2.0
REMIND-Transport 2.1,Transport_Budg1100_H2Push,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,7.5564,C3,2.0
IMAGE 3.0,EN_NPi2020_800,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,4.469441675115377,C3,2.0
IMAGE 3.0,EN_NPi2020_1000f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,6.479988782666624,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.7069,C2,2.0
WITCH 5.0,EN_INDCi2030_1000f_NDCp,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.05199396769541,C3,2.0
POLES ENGAGE,EN_NPi2020_600f_COV,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.879256725311279,C3,2.0
