model,scenario,region,variable,unit,year,value,Category,Ssp_family
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000f_COV,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.4467,C3,2.0
IMAGE 3.2,SSP2_SPA2_26I_LI,EU28,Secondary Energy|Electricity,EJ/yr,2050,12.601594624,C3,2.0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,EU28,Secondary Energy|Electricity,EJ/yr,2050,30.4532,C1,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1200f,EU28,Secondary Energy|Electricity,EJ/yr,2050,23.5441,C3,2.0
TIAM-ECN 1.1,EN_NPi2020_800f,EU28,Secondary Energy|Electricity,EJ/yr,2050,20.45,C3,2.0
WITCH 5.0,EN_NPi2020_800,EU28,Secondary Energy|Electricity,EJ/yr,2050,0.472296426988551,C3,2.0
GEM-E3_V2021,EN_NPi2020_1000f_COV,EU28,Secondary Energy|Electricity,EJ/yr,2050,14.7514347970653,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1200,EU28,Secondary Energy|Electricity,EJ/yr,2050,23.5792,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,EU28,Secondary Energy|Electricity,EJ/yr,2050,26.2212,C1,2.0
GCAM 5.3,R_MAC_65_n0,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.4207410663,C3,2.0
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_no-transfer_def,EU28,Secondary Energy|Electricity,EJ/yr,2050,28.6331,C3,2.0
EPPA 6,Paris1.5C_OptTax,EU28,Secondary Energy|Electricity,EJ/yr,2050,12.86803877549053,C3,2.0
REMIND 2.1,R2p1_SSP2-PkBudg1300,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.7153,C3,2.0
WITCH 5.0,EN_NPi2020_700f,EU28,Secondary Energy|Electricity,EJ/yr,2050,30.1794256784052,C3,2.0
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,EU28,Secondary Energy|Electricity,EJ/yr,2050,27.271,C1,2.0
AIM/CGE 2.2,EN_NPi2020_800f,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.4011,C3,2.0
GCAM 5.3,NGFS2_Divergent Net Zero Policies,EU28,Secondary Energy|Electricity,EJ/yr,2050,32.231446000000005,C2,2.0
WITCH 5.0,EN_INDCi2030_800f,EU28,Secondary Energy|Electricity,EJ/yr,2050,30.9919691370282,C3,2.0
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.0791,C2,2.0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,EU28,Secondary Energy|Electricity,EJ/yr,2050,27.0557,C1,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_COV,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.9282,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1200,EU28,Secondary Energy|Electricity,EJ/yr,2050,23.3499,C3,2.0
GCAM 5.3,R_MAC_35_n8,EU28,Secondary Energy|Electricity,EJ/yr,2050,29.839528895870306,C1,2.0
AIM/CGE 2.2,EN_NPi2020_600f,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.2744,C2,2.0
POLES GECO2019,CO_2Deg2030,EU28,Secondary Energy|Electricity,EJ/yr,2050,17.50141716003418,C3,2.0
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.9443,C2,2.0
WITCH 5.0,EN_NPi2020_400f,EU28,Secondary Energy|Electricity,EJ/yr,2050,30.9766410928145,C1,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.7232,C3,2.0
IMAGE 3.0,EN_INDCi2030_800f,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.094964736,C3,2.0
GCAM 5.3,R_MAC_60_n8,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.404361469300003,C2,2.0
POLES ENGAGE,EN_NPi2020_500f,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.90003967285156,C3,2.0
REMIND-Transport 2.1,Transport_Budg1100_H2Push,EU28,Secondary Energy|Electricity,EJ/yr,2050,28.0161,C3,2.0
IMAGE 3.0,EN_NPi2020_800,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.934465536,C3,2.0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,EU28,Secondary Energy|Electricity,EJ/yr,2050,34.7827,C1,2.0
IMAGE 3.0,EN_NPi2020_1000f,EU28,Secondary Energy|Electricity,EJ/yr,2050,16.240298496,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.8389,C2,2.0
WITCH 5.0,EN_INDCi2030_1000f_NDCp,EU28,Secondary Energy|Electricity,EJ/yr,2050,30.2657473753264,C3,2.0
