model,scenario,region,variable,unit,year,value,Category,Ssp_family
REMIND 2.1,TechCost-SSP2-B1100-coalH,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,847.8738,C3,2.0
GCAM 5.3,R_MAC_99_n0,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,5604.90607271426,C5,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2500f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,8939.13419736404,C5,2.0
GCAM 5.3,R_MAC_35_n0,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-3753.46886763851,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_800,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,814.7255,C3,2.0
MESSAGE-GLOBIOM 1.0,EMF30_Slower-to-faster,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,838.64198,C2,2.0
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,56.8441132487357,C2,2.0
POLES ENGAGE,EN_NPi2020_500,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,469.49072265625,C3,2.0
GEM-E3_V2021,EN_INDCi2030_1000_COV_NDCp,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-694.6826072349949,C3,2.0
TIAM-ECN 1.1,EN_NPi2020_1000,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-3461.097114228387,C3,2.0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-2044.193,C2,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,74.51051296764963,C1,2.0
TIAM-ECN 1.1,EN_NPi2020_2500,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,3046.331976443857,C5,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_NDCp,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1025.5449,C3,2.0
TIAM-ECN 1.1,EN_INDCi2030_2000,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1907.247817240889,C5,2.0
REMIND 2.1,LeastTotalCost_CEA_brkLR15_SSP2_P50,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1477.1772,C3,2.0
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_nobeccs,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,199.6758,C3,2.0
GCAM 5.3,R_MAC_45_n0,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-3511.46500270571,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,674.3971,C2,2.0
GEM-E3_V2021,EN_INDCi2030_600f_COV_NDCp,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-2259.378593724278,C2,2.0
TIAM-ECN 1.1,EN_NPi2020_900f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-2320.960004435623,C3,2.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,6544.672673443225,C5,2.0
WITCH 5.0,EN_NPi2020_1000f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-1769.453171891137,C3,2.0
AIM/Hub-Global 2.0,1.5C,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-1543.6713,C1,2.0
POLES ADVANCE,ADVANCE_2030_1.5C-2100,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-3957.28,C2,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR1p,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,283.1043949696434,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_2000,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,3328.1693,C5,2.0
IMAGE 3.0,CO_GPP,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,6859.185695648193,C5,2.0
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nobeccs,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,301.677191871987,C3,2.0
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_cost100,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-1919.928,C2,2.0
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-490.021049782126,C1,2.0
REMIND 2.1,TechCost-SSP2-B1100-elh2H,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1020.3203,C3,2.0
AIM/CGE 2.2,EN_NPi2020_800,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-459.6221,C3,2.0
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1073.0058,C1,2.0
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_uniform-pricing_def,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1291.0289,C3,2.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,61.25310485967135,C2,2.0
