model,scenario,region,variable,unit,year,value,study
GCAM 7_0,NDC_LTT_limBIO,EU27,Secondary Energy|Electricity,EJ/yr,2020,10.62566229351,Study_3
GCAM 7_0,NDC_LTT_limBIO,EU27,Secondary Energy|Electricity,EJ/yr,2025,12.19882677051,Study_3
GCAM 7_0,NDC_LTT_limBIO,EU27,Secondary Energy|Electricity,EJ/yr,2030,13.49248928831,Study_3
GCAM 7_0,NDC_LTT_limBIO,EU27,Secondary Energy|Electricity,EJ/yr,2035,14.68592506931,Study_3
GCAM 7_0,NDC_LTT_limBIO,EU27,Secondary Energy|Electricity,EJ/yr,2040,16.21263091131,Study_3
GCAM 7_0,NDC_LTT_limBIO,EU27,Secondary Energy|Electricity,EJ/yr,2045,17.79950069131,Study_3
GCAM 7_0,NDC_LTT_limBIO,EU27,Secondary Energy|Electricity,EJ/yr,2050,19.6899679505,Study_3
GCAM 7_0,NDC_LTT_limCCS,EU27,Secondary Energy|Electricity,EJ/yr,2005,9.82371842002,Study_3
GCAM 7_0,NDC_LTT_limCCS,EU27,Secondary Energy|Electricity,EJ/yr,2010,10.01810573,Study_3
GCAM 7_0,NDC_LTT_limCCS,EU27,Secondary Energy|Electricity,EJ/yr,2015,9.7138615,Study_3
GCAM 7_0,NDC_LTT_limCCS,EU27,Secondary Energy|Electricity,EJ/yr,2020,10.62566229351,Study_3
GCAM 7_0,NDC_LTT_limCCS,EU27,Secondary Energy|Electricity,EJ/yr,2025,12.20330500821,Study_3
GCAM 7_0,NDC_LTT_limCCS,EU27,Secondary Energy|Electricity,EJ/yr,2030,13.51406239641,Study_3
GCAM 7_0,NDC_LTT_limCCS,EU27,Secondary Energy|Electricity,EJ/yr,2035,14.773464714716,Study_3
GCAM 7_0,NDC_LTT_limCCS,EU27,Secondary Energy|Electricity,EJ/yr,2040,16.235122130095,Study_3
GCAM 7_0,NDC_LTT_limCCS,EU27,Secondary Energy|Electricity,EJ/yr,2045,17.754224932168,Study_3
GCAM 7_0,NDC_LTT_limCCS,EU27,Secondary Energy|Electricity,EJ/yr,2050,19.367372361505,Study_3
GCAM 7_0,NDC_LTT_limRES,EU27,Secondary Energy|Electricity,EJ/yr,2005,9.82371842002,Study_3
GCAM 7_0,NDC_LTT_limRES,EU27,Secondary Energy|Electricity,EJ/yr,2010,10.01810573,Study_3
GCAM 7_0,NDC_LTT_limRES,EU27,Secondary Energy|Electricity,EJ/yr,2015,9.7138615,Study_3
GCAM 7_0,NDC_LTT_limRES,EU27,Secondary Energy|Electricity,EJ/yr,2020,10.62565480748,Study_3
GCAM 7_0,NDC_LTT_limRES,EU27,Secondary Energy|Electricity,EJ/yr,2025,12.03548778108,Study_3
GCAM 7_0,NDC_LTT_limRES,EU27,Secondary Energy|Electricity,EJ/yr,2030,13.20864092298,Study_3
GCAM 7_0,NDC_LTT_limRES,EU27,Secondary Energy|Electricity,EJ/yr,2035,13.44691772698,Study_3
GCAM 7_0,NDC_LTT_limRES,EU27,Secondary Energy|Electricity,EJ/yr,2040,15.04095845398,Study_3
GCAM 7_0,NDC_LTT_limRES,EU27,Secondary Energy|Electricity,EJ/yr,2045,17.16614349898,Study_3
GCAM 7_0,NDC_LTT_limRES,EU27,Secondary Energy|Electricity,EJ/yr,2050,19.1133354157,Study_3
GCAM 7_0,NDC_LTT_NoRus,EU27,Secondary Energy|Electricity,EJ/yr,2005,9.82371842002,Study_3
GCAM 7_0,NDC_LTT_NoRus,EU27,Secondary Energy|Electricity,EJ/yr,2010,10.01810573,Study_3
GCAM 7_0,NDC_LTT_NoRus,EU27,Secondary Energy|Electricity,EJ/yr,2015,9.7138615,Study_3
GCAM 7_0,NDC_LTT_NoRus,EU27,Secondary Energy|Electricity,EJ/yr,2020,10.62566229351,Study_3
